valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.466,1990,0.404,['Keith Whitley'],0.644,207107,0.381,0,4lvw7DUGFH7GiHmcxoSFwU,2.94e-06,5,0.315,-13.672,1,"Miami, My Amy",36,1990-08-07,0.0285,108.504
0.568,2020,0.0582,"['King Von', 'Polo G']",0.831,202413,0.62,1,5NOUjBikzECEJyZMTxtErD,0.0,6,0.119,-8.397,0,The Code (feat. Polo G),78,2020-10-30,0.338,133.17
0.8690000000000001,1966,0.0757,['The Mamas & The Papas'],0.623,157893,0.863,0,562MDpXyzsGik7DX62ewjX,0.0,6,0.138,-6.761,1,That Kind Of Girl,20,1966-08-30,0.0429,128.298
0.456,2020,0.0235,"['Kodak Black', 'Lil Yachty']",0.745,211948,0.591,1,6EjbqmKlrYawjNB9BTccbh,0.0,1,0.12,-5.928,1,Make A Hit (feat. Lil Yachty),61,2020-11-11,0.189,154.014
0.391,1983,0.473,['Vasco Rossi'],0.482,193573,0.478,0,5glUL9jOPUDeg3xCp8TUuR,0.00195,0,0.227,-9.08,1,Una canzone per te,56,1983,0.026,87.30799999999998
0.912,2003,0.6629999999999999,['Los Originales De San Juan'],0.805,172773,0.775,0,3tzsZovQAiZIC2acp5PeYs,0.0,7,0.189,-6.41,1,Mexicano Hasta La Madre,45,2003-09-22,0.236,114.542
0.263,1970,0.672,['The Beach Boys'],0.4320000000000001,162293,0.35,0,74D87XkpPozTefTJaGs1oH,0.000847,0,0.0932,-9.852,0,Forever - Remastered 2009,50,1970-08-31,0.0266,73.411
0.7120000000000001,1995,0.282,['Grupo Limite'],0.762,177560,0.516,0,6ahPSjBkcQXLz1cZC8719l,8.609999999999999e-05,6,0.0958,-9.912,0,Yo Sin Tu Amor,38,1995-01-01,0.0775,165.458
0.32,2002,0.0314,['Taking Back Sunday'],0.264,215427,0.7829999999999999,0,3ngTtLHfi6a7hBvFOYsD2w,0.0,0,0.469,-6.035,1,Bike Scene,41,2002-03-26,0.0455,91.81
0.362,2011,0.00285,['Tech N9ne'],0.746,326427,0.853,1,2Lo2BWhhlZSJds2yBhxoet,0.0,1,0.376,-4.452,1,Worldwide Choppers,60,2011-06-07,0.13,130.028
0.4370000000000001,2007,0.37,['Dion'],0.347,200400,0.365,0,08oRPVeAXWNnRZUzNJpYsv,9.92e-05,4,0.208,-14.744000000000002,1,"Abraham, Martin And John",47,2007-01-01,0.0361,146.994
0.088,2014,0.0313,['TheFatRat'],0.544,233379,0.608,0,5iRVNYbhfWNO2VzBykX7GS,0.742,10,0.0925,-8.073,0,Xenogenesis,61,2014-11-27,0.0287,145.049
0.7929999999999999,1998,0.474,['Manu Chao'],0.604,277013,0.579,0,59hH7GJFrSd5v9FwgSZEw8,8.900000000000001e-06,5,0.531,-8.3,0,Mentira,58,1998-10-06,0.045,75.942
0.772,2006,0.0963,['Depeche Mode'],0.6890000000000001,225040,0.8440000000000001,0,3gv4AhWWneEu2oh1Egz652,0.00852,10,0.0621,-5.519,0,Personal Jesus - 2006 Remaster,46,2006-11-14,0.0348,129.97299999999998
